id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-24U,日本語表現(b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,日本語表現(b) 1 1 (1) FL-24U 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=85
PE-111,体育(1a),0.5,△,体育科目,その他,elective-required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,基礎体育(1a) △ 0.5 1 PE-111 20 0 0 60 20,pdftotext_line,,department=環境創生学科; source_page=85
PE-112,体,0.5,△,体育科目,その他,elective-required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,体 基礎体育(1b) △ 0.5 1 PE-112 20 0 0 60 20,pdftotext_line,,department=環境創生学科; source_page=85
PE-113,育,0.5,△,体育科目,その他,elective-required,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,育 基礎体育(2a) △ 0.5 1 PE-113 20 0 0 60 20,pdftotext_line,,department=環境創生学科; source_page=85
PE-211,応用体育(1),1,,体育科目,その他,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,応用体育(1) 1 2 (2) PE-211 20 0 0 60 20 集中講義あり,pdftotext_line,,department=環境創生学科; source_page=85
PE-212,応用体育(2),1,,体育科目,その他,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,応用体育(2) 1 2 (2) PE-212 20 0 0 60 20 集中講義あり,pdftotext_line,,department=環境創生学科; source_page=85
LA-111,哲学(1),2,Ｇ,基礎科目,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,哲学(1) Ｇ 2 2 LA-111 25 30 10 15 20,pdftotext_line,,department=環境創生学科; source_page=85
LA-112,哲学(2),2,Ｇ,基礎科目,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,哲学(2) Ｇ 2 2 LA-112 5 50 15 20 10,pdftotext_line,,department=環境創生学科; source_page=85
LA-113,倫理学(1),2,,基礎科目,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,倫理学(1) 2 2 LA-113 30 50 10 0 10 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
LA-114,倫理学(2),2,,基礎科目,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,基 倫理学(2) 2 2 LA-114 20 50 10 10 10 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=85
LA-115,倫理学(a),1,,基礎科目,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,礎 倫理学(a) 1 1 LA-115 20 20 10 20 30,pdftotext_line,,department=環境創生学科; source_page=85
LA-116,倫理学(b),1,,基礎科目,教養科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,科 倫理学(b) 1 1 LA-116 20 20 10 20 30 10,pdftotext_line,,department=環境創生学科; source_page=85
