id,title,credits,raw_required,category,group,courseType,source_key,source_file,source_line
FL-21I,Critical Listening(2b),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(2b)                        1                   1        (1)                             FL-21I   20    30    10   10   30   ＳＣ開講
FL-315,Critical Listening(3a),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(3a)                        1                   1        (1)                             FL-315   20    30    10   10   30   ＳＣ開講
FL-316,Critical Listening(3b),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(3b)                        1                   1        (1)                             FL-316   20    30    10   10   30   ＳＣ開講
FL-21J,Communication Strategies(1a),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,）   Communication Strategies(1a)            1             1    (1)                       FL-21J   20     30   10   10   30
FL-21K,Communication Strategies(1b),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Communication Strategies(1b)            1             1    (1)                       FL-21K   20     30   10   10   30
FL-21L,Communication Strategies(2a),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Communication Strategies(2a)                  1                   1        (1)                             FL-21L   20    30    10   10   30
FL-21M,Communication Strategies(2b),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,基            Communication Strategies(2b)                  1                   1        (1)                             FL-21M   20    30    10   10   30
FL-317,Communication Strategies(3a),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Communication Strategies(3a)                  1                   1        (1)                             FL-317   20    30    10   10   30
FL-318,Communication Strategies(3b),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,目            Communication Strategies(3b)                  1                   1        (1)                             FL-318   20    30    10   10   30
FL-21N,Academic English(1a),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,目       Academic English(1a)                    1             1    (1)                       FL-21N   20     30   10   10   30
FL-21O,Academic English(1b),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Academic English(1b)                    1             1    (1)                       FL-21O   20     30   10   10   30
FL-21P,Academic English(2a),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(2a)                          1                   1        (1)                             FL-21P   20    30    10   10   30
FL-21Q,Academic English(2b),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(2b)                          1                   1        (1)                             FL-21Q   20    30    10   10   30
FL-319,Academic English(3a),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(3a)                          1                   1        (1)                             FL-319   20    30    10   10   30   ＳＣ開講
FL-31A,Academic English(3b),1,,共通分野,外国語科目,elective,environment,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(3b)                          1                   1        (1)                             FL-31A   20    30    10   10   30   ＳＣ開講
FL-221,Literature in English(1a),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Literature in English(1a)               1             1    (1)                       FL-221   20     30   10   10   30
FL-222,Literature in English(1b),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Literature in English(1b)               1             1    (1)                       FL-222   20     30   10   10   30
FL-223,Literature in English(2a),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Literature in English(2a)               1             1    (1)                       FL-223   20     30   10   10   30
FL-224,Literature in English(2b),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,Literature in English(2b)               1             1    (1)                       FL-224   20     30   10   10   30
FL-229,Language Sciences(1a),1,,共通分野,外国語科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,（   Language Sciences(1a)                   1             1    (1)                       FL-229   20     30   10   10   30
